Iteraton		Stroke			Error

1				7.30729          2.000000
2				18.20036          1.726422
3				13.14651          0.271824
4				10.49131          0.236046
5				9.22497          0.220887
6				8.75865          0.196028
7				8.59517          0.175513
8				5.94515          0.891255
9				1.94175          0.746712
10				1.63160          0.126983
11				1.51369          0.089817
12				1.47794          0.057427
13				1.46965          0.031163
14				1.46818          0.014137
15				1.46796          0.005597
16				1.46793          0.002058
17				1.46793          0.000733
18				1.46793          0.000258
19				1.46793          0.000090
20				1.46793          0.000032
21				1.46793          0.000011
22				1.46793          0.000004
23				1.46793          0.000001
24				1.46793          0.000000


Value of stroke = 1.46793
Diametre of circle = 2.93586
